SubscriberKey,SentCount_7Days,SentCount_31Days,SentCount_6Mos,SentCount_12Mos,SentCount_Life,LastSentDateTimeUTC,OpenCount_7Days,OpenCount_31Days,OpenCount_6Mos,OpenCount_12Mos,OpenCount_Life,LastOpenDateTimeUTC,ClickCount_7Days,ClickCount_31Days,ClickCount_6Mos,ClickCount_12Mos,ClickCount_Life,LastClickDateTimeUTC,BounceCount_7Days,BounceCount_31Days,BounceCount_6Mos,BounceCount_12Mos,BounceCount_Life,LastBounceDateTimeUTC,LastUnsubDateTimeUTC,LastModifiedDateTimeUTC
0013t00001jFpDZAA0,,,,2,9,4/27/2020 10:04:24 PM,,,,2,9,4/27/2020 10:04:24 PM,,,,2,9,4/27/2020 10:04:24 PM,,,,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpDzAAK,,,,2,9,4/27/2020 10:04:24 PM,,,,2,9,4/27/2020 10:04:24 PM,,,,0,4,7/3/2019 8:29:56 PM,,,,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpE0AAK,,,,2,9,4/27/2020 10:04:24 PM,,,,0,4,7/3/2019 8:29:56 PM,,,,0,0,,,,,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpE1AAK,,,,2,9,4/27/2020 10:04:24 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpE2AAK,,,1,3,10,10/28/2020 8:35:49 AM,,,0,0,0,,,,1,3,10,10/28/2020 8:35:49 AM,,,1,1,1,10/28/2020 8:35:49 AM,,1/6/2021 12:00:00 AM
0013t00001jFpE3AAK,,,1,3,10,10/28/2020 8:35:49 AM,,,0,0,0,,,,1,3,10,10/28/2020 8:35:49 AM,,,0,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpE4AAK,,,1,3,10,10/28/2020 8:35:49 AM,,,0,0,0,,,,0,4,18,4/27/2020 10:04:24 PM,,,0,0,6,12/15/2019 6:12:40 PM,,1/6/2021 12:00:00 AM
0013t00001jFpE5AAK,,,,2,9,4/27/2020 10:04:24 PM,,,,0,0,,,,,0,7,1/6/2020 6:18:09 AM,,,,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpE6AAK,,,1,3,10,10/28/2020 8:35:49 AM,,,1,1,1,10/28/2020 8:35:49 AM,,,0,0,0,,,,0,0,5,10/28/2019 2:18:11 AM,,1/6/2021 12:00:00 AM
0013t00001jFpE7AAK,,,1,3,10,10/28/2020 8:35:49 AM,,,0,0,0,,,,0,2,9,4/27/2020 10:04:24 PM,,,0,0,0,,,1/6/2021 12:00:00 AM
0013t00001jFpE8AAK,,,,2,8,4/27/2020 10:04:24 PM,,,,0,0,,,,,0,5,10/28/2019 2:18:11 AM,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpE9AAK,,,,2,8,4/27/2020 10:04:24 PM,,,,2,8,4/27/2020 10:04:24 PM,,,,0,0,,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEAAA0,,,,2,7,4/27/2020 10:04:24 PM,,,,0,3,5/27/2019 11:04:03 PM,,,,2,7,4/27/2020 10:04:24 PM,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEBAA0,,,,1,6,4/11/2020 12:57:55 PM,,,,0,0,,,,,0,3,5/27/2019 11:04:03 PM,,,,0,0,,4/27/2019 9:06:15 PM,12/15/2020 12:00:00 AM
0013t00001jFpECAA0,,,,1,6,4/11/2020 12:57:55 PM,,,,0,0,,,,,1,6,4/11/2020 12:57:55 PM,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEDAA0,,,,1,6,4/11/2020 12:57:55 PM,,,,0,0,,,,,0,6,5/9/2019 7:35:30 AM,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEEAA0,,,,1,9,4/11/2020 12:57:55 PM,,,,0,0,,,,,0,0,,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEFAA0,,,,1,8,4/11/2020 12:57:55 PM,,,,0,0,,,,,0,4,7/3/2019 8:29:56 PM,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEGAA0,,,,1,9,4/11/2020 12:57:55 PM,,,,0,0,,,,,0,0,,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpEHAA0,,,,1,8,4/11/2020 12:57:55 PM,,,,0,0,,,,,0,0,,,,,0,0,,,12/15/2020 12:00:00 AM
0013t00001jFpDfAAK,,,1,1,1,9/18/2020 10:25:35 AM,,,1,1,1,9/18/2020 10:25:35 AM,,,1,1,1,9/18/2020 10:25:35 AM,,,1,1,1,9/18/2020 10:25:35 AM,9/18/2020 10:25:35 AM,11/10/2020 12:00:00 AM
0013t00001jFpDjAAK,,,1,1,1,9/18/2020 10:25:35 AM,,,1,1,1,9/18/2020 10:25:35 AM,,,1,1,1,9/18/2020 10:25:35 AM,,,1,1,1,9/18/2020 10:25:35 AM,9/18/2020 10:25:35 AM,11/10/2020 12:00:00 AM
0013t00001jFpDnAAK,,,2,2,2,10/28/2020 8:35:49 AM,,,2,2,2,10/28/2020 8:35:49 AM,,,2,2,2,10/28/2020 8:35:49 AM,,,1,1,1,9/18/2020 10:25:35 AM,,11/28/2020 12:00:00 AM
0013t00001jFpDqAAK,,,1,3,3,9/18/2020 10:25:35 AM,,,1,3,3,9/18/2020 10:25:35 AM,,,1,3,3,9/18/2020 10:25:35 AM,,,0,0,0,,,11/10/2020 12:00:00 AM
0013t00001jFpDsAAK,,,1,3,3,9/18/2020 10:25:35 AM,,,1,3,3,9/18/2020 10:25:35 AM,,,1,3,3,9/18/2020 10:25:35 AM,,,0,0,0,,,11/10/2020 12:00:00 AM
0013t00001jFpDtAAK,,,1,3,3,9/18/2020 10:25:35 AM,,,1,3,3,9/18/2020 10:25:35 AM,,,1,3,3,9/18/2020 10:25:35 AM,,,0,0,0,,,11/10/2020 12:00:00 AM
0013t00001jFpDxAAK,,,1,3,6,10/28/2020 8:35:49 AM,,,1,3,6,10/28/2020 8:35:49 AM,,,2,6,12,10/28/2020 8:35:49 AM,,,0,0,2,12/15/2019 6:12:40 PM,,1/6/2021 12:00:00 AM
0013t00001jHua0AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,6/24/2020 4:22:37 PM,1/10/2021 12:00:00 AM
0013t00001jHua2AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,6/24/2020 4:22:37 PM,1/10/2021 12:00:00 AM
0013t00001jHua9AAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,6/24/2020 4:22:37 PM,1/10/2021 12:00:00 AM
0013t00001jHuabAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,6/24/2020 4:22:37 PM,1/10/2021 12:00:00 AM
0013t00001jHuaeAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,6/24/2020 4:22:37 PM,1/10/2021 12:00:00 AM
